close,high,low,open,volumefrom,volumeto
573.39,579.53,570.83,572.34,30389.41,17509679.71
574.56,577.86,566.25,573.39,25530.44,14701426.29
582.61,583.5,572.28,574.56,23119.79,13416843.63
580.66,585.32,577.84,582.61,14160.18,8294321.53
587.47,591.9,577.13,580.66,33558.61,19658058.08
583.56,589.87,578.61,587.47,32082.32,18772369.53
579.66,584.47,576.82,583.56,28057.04,16337141.09
577.96,580.71,570.81,579.66,32733.65,18885349.63
579.37,582.73,575.83,577.96,21168.38,12329289.75
570.35,580.41,567.25,579.37,18686.65,10747219.53
574.98,576.32,569.21,570.35,12824.95,7377921.72
574.23,578.61,571.38,574.98,23862.95,13760854.22
577.32,579.94,572.51,574.23,27480.29,15895354.76
573.88,578.25,571.69,577.32,24933.77,14338795.45
571.99,704.97,569.37,573.88,25872.2,14860164.25
575.29,577.6,569.3,571.99,26612.15,15315755.66
598.84,604.97,572.64,575.29,35699.73,21055514.22
609.55,615.2,590.78,598.84,30690.03,18646011.82
605.76,610.61,598.77,609.55,25286.46,15369832.26
610.44,611.95,603.55,605.76,24324.78,14864563.84
613.21,616.48,606.24,610.44,30033.77,18429525.07
625.57,629.3,611.25,613.21,36328.29,22710390.64
623.16,627.58,617.32,625.57,28333.32,17710151.19
624.52,627.45,621.07,623.16,15279.28,9600113.74
605.61,630.77,592.79,624.52,36543.99,22467346.61
607.98,610.62,603.03,605.61,27944.86,17058938.65
608.61,612.03,604.87,607.98,27515.13,16850869.45
609.54,612.16,606.39,608.61,24244.49,14878860.18
608.11,610.73,605.1,609.54,22687.24,13892193.46
607.78,610.36,605.15,608.11,21847.03,13353736.94
607.08,609.61,604.52,607.78,15894.29,9724490.11
610.7,612.38,605.22,607.08,16329.91,10004923.58
609.85,612.41,606.99,610.7,21236.53,12981851.28
609.24,611.27,605.93,609.85,22607.66,13809380.94
597.16,608.82,591.69,609.24,36862.36,22059386.51
595.63,599.78,592.83,597.16,22441.49,13463966.31
602.92,603.7,594.11,595.63,25921.89,15567036.24
602.59,605.92,600.5,602.92,13472.8,8196210.74
601.49,604.87,598.35,602.59,13278.03,8038079.81
606.54,608.46,598.17,601.49,27504.57,16700407.53
605.47,608.97,601.73,606.54,25546.7,15534315.77
604.67,606.9,602.62,605.47,18936.2,11485005.36
604.7,607.23,602.01,604.67,25321.05,15403975.48
608.14,608.78,602.25,604.7,23952.58,14534745.84
613.41,615.0,607.07,608.14,16932.63,10415543.03
610.69,614.21,607.67,613.41,16534.52,10096653.77
611.6,613.2,608.47,610.69,21946.12,13462741.8
608.96,612.68,606.5,611.6,24993.32,15300692.52
611.82,613.65,607.98,608.96,23401.3,14360536.88
610.97,612.68,608.54,611.82,21625.57,13276337.45
616.03,619.43,609.12,610.97,32725.06,20167399.2
617.65,619.56,614.88,616.03,13620.86,8467434.0
